Name	ScopeViewControl	
File	F:\_LTR700\TempMeas\Scope YT Project.svd	
StartRecord	131572023434270000	08 December 2017	12:25:43
EndRecord	131572026024670000	08 December 2017	12:30:02


Name	T_Ref	Name	T_Cels	
NetId	172.18.136.182.1.1	NetId	172.18.136.182.1.1	
Port	851	Port	851	
SampleTime[ms]	10	SampleTime[ms]	10	
SymbolBased	True	SymbolBased	True	
SymbolName	Temperatures.T_Ref	SymbolName	Temperatures.T_Act	
SymbolComment		SymbolComment		
IndexGroup	16448	IndexGroup	16448	
IndexOffset	513864	IndexOffset	513868	
Data-Type	REAL32	Data-Type	REAL32	
VariableSize	4	VariableSize	4	
Offset	0	Offset	0	
ScaleFactor	1	ScaleFactor	1	
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	

5760	50	5760	33.71528	
5770	50	5770	33.71528	
5780	50	5780	33.71528	
5790	50	5790	33.7442131	
5800	50	5800	33.7442131	
5810	50	5810	33.71528	
5820	50	5820	33.7442131	
5830	50	5830	33.7442131	
5840	50	5840	33.7442131	
5850	50	5850	33.7442131	
5860	50	5860	33.7442131	
5870	50	5870	33.7442131	
5880	50	5880	33.7442131	
5890	50	5890	33.7731476	
5900	50	5900	33.7731476	
5910	50	5910	33.7731476	
5920	50	5920	33.8020821	
5930	50	5930	33.7731476	
5940	50	5940	33.7731476	
5950	50	5950	33.7731476	
5960	50	5960	33.8020821	
5970	50	5970	33.8020821	
5980	50	5980	33.8020821	
5990	50	5990	33.8020821	
6000	50	6000	33.8020821	
6010	50	6010	33.8020821	
6020	50	6020	33.8020821	
6030	50	6030	33.8310165	
6040	50	6040	33.8020821	
6050	50	6050	33.8020821	
6060	50	6060	33.8310165	
6070	50	6070	33.8020821	
6080	50	6080	33.8310165	
6090	50	6090	33.8310165	
6100	50	6100	33.8310165	
6110	50	6110	33.8310165	
6120	50	6120	33.8310165	
6130	50	6130	33.8310165	
6140	50	6140	33.8310165	
6150	50	6150	33.8310165	
6160	50	6160	33.8599548	
6170	50	6170	33.8599548	
6180	50	6180	33.8310165	
6190	50	6190	33.8599548	
6200	50	6200	33.8599548	
6210	50	6210	33.8599548	
6220	50	6220	33.8599548	
6230	50	6230	33.8599548	
6240	50	6240	33.8599548	
6250	50	6250	33.8599548	
6260	50	6260	33.88889	
6270	50	6270	33.8599548	
6280	50	6280	33.88889	
6290	50	6290	33.88889	
6300	50	6300	33.9178238	
6310	50	6310	33.9178238	
6320	50	6320	33.9178238	
6330	50	6330	33.9178238	
6340	50	6340	33.9178238	
6350	50	6350	33.9178238	
6360	50	6360	33.9178238	
6370	50	6370	33.9178238	
6380	50	6380	33.9178238	
6390	50	6390	33.9178238	
6400	50	6400	33.9178238	
6410	50	6410	33.9467621	
6420	50	6420	33.9467621	
6430	50	6430	33.9178238	
6440	50	6440	33.9467621	
6450	50	6450	33.9467621	
6460	50	6460	33.9467621	
6470	50	6470	33.9467621	
6480	50	6480	33.9467621	
6490	50	6490	33.9467621	
6500	50	6500	33.9756927	
6510	50	6510	33.9467621	
6520	50	6520	33.9756927	
6530	50	6530	33.9756927	
6540	50	6540	33.9756927	
6550	50	6550	33.9756927	
6560	50	6560	34.00463	
6570	50	6570	34.00463	
6580	50	6580	34.00463	
6590	50	6590	34.00463	
6600	50	6600	34.00463	
6610	50	6610	34.00463	
6620	50	6620	34.00463	
6630	50	6630	34.00463	
6640	50	6640	34.00463	
6650	50	6650	34.00463	
6660	50	6660	34.0335655	
6670	50	6670	34.0335655	
6680	50	6680	34.0335655	
6690	50	6690	34.0335655	
6700	50	6700	34.0335655	
6710	50	6710	34.0335655	
6720	50	6720	34.0335655	
6730	50	6730	34.0625	
6740	50	6740	34.0625	
6750	50	6750	34.0625	
6760	50	6760	34.0625	
6770	50	6770	34.0625	
6780	50	6780	34.0625	
6790	50	6790	34.0625	
6800	50	6800	34.0625	
6810	50	6810	34.0625	
6820	50	6820	34.0914345	
6830	50	6830	34.0914345	
6840	50	6840	34.0914345	
6850	50	6850	34.12037	
6860	50	6860	34.0914345	
6870	50	6870	34.0914345	
6880	50	6880	34.0914345	
6890	50	6890	34.0914345	
6900	50	6900	34.12037	
6910	50	6910	34.12037	
6920	50	6920	34.12037	
6930	50	6930	34.12037	
6940	50	6940	34.12037	
6950	50	6950	34.12037	
6960	50	6960	34.12037	
6970	50	6970	34.1493073	
6980	50	6980	34.1493073	
6990	50	6990	34.1493073	
7000	50	7000	34.1493073	
7010	50	7010	34.1493073	
7020	50	7020	34.1493073	
7030	50	7030	34.1493073	
7040	50	7040	34.1493073	
7050	50	7050	34.1782379	
7060	50	7060	34.1782379	
7070	50	7070	34.1782379	
7080	50	7080	34.1782379	
7090	50	7090	34.1782379	
7100	50	7100	34.1782379	
7110	50	7110	34.1782379	
7120	50	7120	34.1782379	
7130	50	7130	34.1782379	
7140	50	7140	34.1782379	
7150	50	7150	34.1782379	
7160	50	7160	34.2071762	
7170	50	7170	34.1782379	
7180	50	7180	34.2071762	
7190	50	7190	34.2071762	
7200	50	7200	34.23611	
7210	50	7210	34.2071762	
7220	50	7220	34.23611	
7230	50	7230	34.23611	
7240	50	7240	34.23611	
7250	50	7250	34.23611	
7260	50	7260	34.23611	
7270	50	7270	34.2650452	
7280	50	7280	34.2650452	
7290	50	7290	34.23611	
7300	50	7300	34.2650452	
7310	50	7310	34.2650452	
7320	50	7320	34.2650452	
7330	50	7330	34.2650452	
7340	50	7340	34.2650452	
7350	50	7350	34.2650452	
7360	50	7360	34.2650452	
7370	50	7370	34.2939835	
7380	50	7380	34.2939835	
7390	50	7390	34.2939835	
7400	50	7400	34.2939835	
7410	50	7410	34.2939835	
7420	50	7420	34.2939835	
7430	50	7430	34.2939835	
7440	50	7440	34.3229179	
7450	50	7450	34.3229179	
7460	50	7460	34.3229179	
7470	50	7470	34.3518524	
7480	50	7480	34.3229179	
7490	50	7490	34.3229179	
7500	50	7500	34.3518524	
7510	50	7510	34.3518524	
7520	50	7520	34.3518524	
7530	50	7530	34.3518524	
7540	50	7540	34.3807869	
7550	50	7550	34.3518524	
7560	50	7560	34.3807869	
7570	50	7570	34.3518524	
7580	50	7580	34.3807869	
7590	50	7590	34.3807869	
7600	50	7600	34.3807869	
7610	50	7610	34.3807869	
7620	50	7620	34.3807869	
7630	50	7630	34.40972	
7640	50	7640	34.40972	
7650	50	7650	34.40972	
7660	50	7660	34.40972	
7670	50	7670	34.40972	
7680	50	7680	34.40972	
7690	50	7690	34.40972	
7700	50	7700	34.40972	
7710	50	7710	34.40972	
7720	50	7720	34.43866	
7730	50	7730	34.43866	
7740	50	7740	34.43866	
7750	50	7750	34.43866	
7760	50	7760	34.43866	
7770	50	7770	34.43866	
7780	50	7780	34.46759	
7790	50	7790	34.46759	
7800	50	7800	34.46759	
7810	50	7810	34.46759	
7820	50	7820	34.46759	
7830	50	7830	34.46759	
7840	50	7840	34.49653	
7850	50	7850	34.46759	
7860	50	7860	34.46759	
7870	50	7870	34.49653	
7880	50	7880	34.49653	
7890	50	7890	34.49653	
7900	50	7900	34.46759	
7910	50	7910	34.49653	
7920	50	7920	34.49653	
7930	50	7930	34.49653	
7940	50	7940	34.49653	
7950	50	7950	34.49653	
7960	50	7960	34.5254631	
7970	50	7970	34.5254631	
7980	50	7980	34.5254631	
7990	50	7990	34.5254631	
8000	50	8000	34.5254631	
8010	50	8010	34.5254631	
